"","s0","V2","V3"
"64",1.64293880590911,11555,0
"65",2.1989934558134,12407,0
"66",1.81687975004816,14335,0
"67",1.46024805152269,16218,0
"68",2.13212721658266,16046,0
"69",1.52934031616806,17397,0
"70",2.13433476895224,15428,0
"71",2.07374702882168,15727,10
"72",2.19829941470538,15644,10
"73",2.13433476895224,15561,0
"74",2.63888477541936,15880,10
"75",2.33069700715179,10510,0
"76",2.12318159362692,10823,0
"77",2.23920204550862,9569,0
"78",2.87220215689896,12219,0
"79",2.51683474883596,20890,0
"80",1.51051557278643,19418,0
"81",2.43440711176235,23146,0
"82",1.90388437266923,23242,0
"83",2.24996297550837,23317,0
"84",1.75861729562115,18377,0
"85",1.8042113793977,16875,0
"86",1.72064669607097,17651,0
"87",1.71055787258971,10234,0
"88",1.80448459604545,17621,2
"89",2.12560618942663,16313,0
"90",2.30110711416431,14094,10
"91",1.40331323593097,16402,0
"92",1.82394513734578,9278,5
"93",2.00404347233127,12700,5
"94",1.76712732525808,10770,5
"95",1.81133116810663,10967,0
"96",2.09786908537728,14956,0
"97",2.08875957438373,13526,0
"98",2.32929427589094,16555,0
"99",2.37526594092788,12036,0
"100",2.74482639054097,15518,0
"101",3.48493131854187,15289,0
"102",2.72675409497297,1026,10
"103",1.8129660902046,20146,10
"104",1.74647268751742,19507,0
"105",1.76916195300968,19532,10
"106",1.76421619847093,20728,0
"107",1.82782121077298,18698,5
"108",2.08660848400011,20975,0
"109",2.09053386904971,19087,0
"110",1.79274337622254,20270,0
"111",2.19798024554798,19676,0
"112",2.21015489700059,20747,5
"113",2.14480450776851,20338,0
"114",2.19168422198507,19942,0
"115",4.02172544193953,19733,0
"116",1.46129776073258,21926,0
"117",1.83573988702274,22586,5
"118",1.79558405189512,22866,5
"119",2.05305959265613,22765,0
"120",2.23039085082614,22424,0
"121",2.56066734242441,21709,0
"122",2.40700222832973,21876,15
"123",1.74261659330406,17433,5
"124",2.02593722998332,17967,0
"125",1.57541413654369,8870,10
"126",2.27835270444164,7490,0
"127",2.12685605120326,9022,0
"128",2.21258723696598,18037,0
"129",2.27944681482952,11471,0
"130",2.35279105284641,15337,10
"131",2.51117549406709,11444,0
"132",2.27944942437807,5290,25
"133",2.84812792146393,5552,0
"134",1.6852231743438,19023,0
"135",1.08552272738664,10409,0
"136",1.79800536334002,17742,0
"137",1.81491923679741,25240,0
"138",2.17866695023004,62315,0
"139",3.2919408635967,60514,35
"140",2.20921003189386,24421,0
"141",2.02462926713264,24675,0
"142",1.63216390267902,25128,8
"143",2.3659982550443,24803,0
"144",1.82072956353297,24507,0
"145",1.79190035572856,25072,0
"146",1.36967389926127,19317,0
"147",1.19366003883524,7092,0
"148",1.47268315566447,2619,0
"149",1.62853243980527,18802,0
"150",2.72117264890843,24166,0
"151",2.64991817645478,23920,0
"152",1.98677318321458,24130,0
"153",2.71880563740369,23359,0
"154",1.83125426444194,23739,0
"155",1.81890381478003,24006,5
"156",2.03061946967521,23712,0
"157",1.82530833954337,23665,0
"158",2.0801130393089,19713,0
"159",2.32276830295516,9617,0
"160",2.05305959265613,22540,0
"161",1.46726461036178,22843,0
"162",1.96274477432033,22583,0
"163",1.79565163167104,21719,0
"164",2.05828671316148,21768,0
"165",1.76156412701539,22437,0
"166",1.79558405189512,22873,0
"167",1.80462022688212,23121,0
"168",1.83573988702274,22779,8
"169",2.08832372114385,22293,5
"170",2.4251391707556,22558,0
"171",2.34040107789366,22054,10
"172",2.45106319724346,22284,0
"173",2.95400508389125,23129,0
"174",2.34618113599481,21871,0
"175",3.23861732599548,22736,0
"176",1.81263288589726,19264,0
"177",2.08639546738942,19591,0
"178",2.03164115407708,20100,5
"179",2.09451508839386,18866,0
"180",1.49657281420977,10797,0
"181",2.0943478743109,5148,20
"182",1.55870555803221,6811,0
"183",2.40129803095591,18206,0
"184",1.67448384779437,17611,0
"185",1.63341888113859,4597,5
"186",1.76421619847093,21055,0
"187",1.81297568465496,9111,0
"188",1.83920692151616,997,5
"189",1.86181373193228,19632,0
"190",1.80635889207957,5955,5
"191",2.76804028169086,3697,10
"192",2.14581438560782,18182,0
"193",2.31581793520925,16017,0
"194",1.83640053436426,21082,0
"195",2.1406845230348,17538,10
"196",2.29184097593688,13883,0
"197",1.81738741788911,20034,0
"198",2.06557239554153,18658,5
"199",2.84283156281899,7803,20
"200",2.18105532860241,17373,0
"201",2.43675966799659,18838,0
"202",2.45759953363282,20659,0
"203",2.60258739236529,3689,25
"204",1.90033180421697,9099,0
"205",2.46111297087961,19687,0
"206",2.60720965720525,7873,0
"207",2.2651602590752,11365,10
"208",2.55701456620326,19891,0
"209",2.47365495767708,22370,0
"210",2.46101181558644,19452,10
"211",2.22883095952642,19107,0
"212",3.15474698561971,5939,0
"213",1.91424128639542,17176,0
"214",2.7469050371839,18796,0
"215",2.68678802888433,15342,0
"216",2.58681474931168,13956,10
"217",1.78387224098963,27979,0
"218",1.71506160181627,44855,0
"219",2.22512033004339,28066,0
"220",2.41136944941606,27931,0
"221",2.06827792256217,21273,0
"222",1.79799380804155,22655,0
"223",1.45713191794097,19278,0
